num_steps,avg_distance_from_origin,avg_distance_from_x_axis,avg_distance_from_y_axis,avg_num_steps_to_exit_circle,avg_total_walker_crosse_y_axis
100,1.6806868052388655,1.0951466842754676,0.9734606889425912,,22.72
150,1.3866371504112718,0.9425669430895546,0.7323231192419405,,32.78
200,1.2997967547825815,0.7373106609185579,0.8180426608803946,,46.9
250,1.2343806608742538,0.613338402017926,0.8602545310546472,51.0,58.64
300,1.4722873970405985,0.8032543132453058,1.02227893311063,,69.54
350,1.0554219386883394,0.46172010272886355,0.7922375490839306,,79.44
400,1.501933101183311,0.8680480257681832,0.9559387506093364,,94.4
450,1.2427321963187214,0.6259657179993421,0.8854034341243456,,102.66
500,1.2724900491747626,0.9117020743719151,0.6730343357415002,238.0,118.04
550,1.4330963966313925,0.8789068532598446,0.8528975389881153,,125.52
600,1.2790118188808242,0.8348760000166568,0.7498019897532664,,140.56
650,1.37152923294974,0.6951863179964807,1.0311708397939316,,150.88
700,1.4865509798890562,0.9014584524576073,0.9678908194723977,,162.64
750,1.3286387031166265,0.7003668366482646,0.9451332713523063,,173.98
800,1.344925011913399,0.8852715825037979,0.7284746185363835,50.0,184.62
850,1.4471507288611969,0.8168561248505308,0.9473364520238592,,194.34
900,1.4214292617523636,0.8374249495568182,0.8918580360888338,827.0,206.26
950,1.7217766782881174,1.0134329272392784,1.1172732501287421,,215.86
1000,1.2927255445305281,0.7308704994857623,0.8964152775265964,167.0,232.66
